Date; Elapsed Milliseconds; Final Count;
28.6.2018;23.17;213;59
28.6.2018;23.17;182;25
29.6.2018;0.39;1137;175
29.6.2018;0.45;849;187
29.6.2018;0.48;1044;281
29.6.2018;0.52;1044;498
29.6.2018;0.53;335;417
29.6.2018;0.55;247;215
29.6.2018;1.5;320;192
29.6.2018;1.5;290;203
29.6.2018;1.7;386;509
29.6.2018;1.10;1125;899
29.6.2018;1.11;1469;176
29.6.2018;1.11;1640;137
29.6.2018;1.17;243;199
29.6.2018;1.18;291;143
29.6.2018;1.19;330;248
29.6.2018;1.19;351;181
29.6.2018;1.20;426;218
29.6.2018;1.23;1143;458
29.6.2018;1.31;318;439
29.6.2018;1.33;394;255
29.6.2018;1.34;1298;198
29.6.2018;1.34;415;69
29.6.2018;1.35;423;178
29.6.2018;1.35;439;95
29.6.2018;1.36;676;372
29.6.2018;1.37;570;163
29.6.2018;1.38;573;154
29.6.2018;1.38;582;43
29.6.2018;1.40;238;34
29.6.2018;1.41;217;21
29.6.2018;1.47;988;109
29.6.2018;1.48;258;272
29.6.2018;1.51;996;521
29.6.2018;1.52;342;213
29.6.2018;1.54;445;475
29.6.2018;1.55;400;186
29.6.2018;1.58;792;54
29.6.2018;2.11;933;346
29.6.2018;2.12;203;298
29.6.2018;2.13;261;303
29.6.2018;2.17;420;1169
29.6.2018;2.19;295;471
29.6.2018;2.21;733;53
29.6.2018;2.25;298;482
29.6.2018;2.31;204;180
29.6.2018;2.33;184;53
29.6.2018;2.35;178;38
29.6.2018;2.36;178;39
29.6.2018;2.41;392;739
29.6.2018;2.45;287;406
29.6.2018;2.47;284;434
29.6.2018;2.48;214;390
29.6.2018;2.49;318;399
29.6.2018;2.58;960;141
29.6.2018;2.59;176;78
29.6.2018;3.3;831;50
29.6.2018;3.3;181;54
29.6.2018;3.4;198;217
29.6.2018;3.4;181;114
29.6.2018;3.5;211;250
29.6.2018;3.5;259;3
29.6.2018;3.12;218;186
29.6.2018;3.12;172;54
29.6.2018;3.13;171;55
29.6.2018;3.15;192;38
29.6.2018;3.15;167;24
29.6.2018;3.16;172;48
29.6.2018;3.21;247;30
29.6.2018;3.21;178;132
29.6.2018;3.22;167;35
29.6.2018;3.22;167;31
29.6.2018;3.22;169;54
29.6.2018;3.23;180;125
29.6.2018;3.23;172;69
29.6.2018;3.24;195;205
29.6.2018;3.26;385;864
29.6.2018;3.28;286;490
29.6.2018;3.29;219;278
29.6.2018;3.29;222;106
29.6.2018;3.30;247;248
29.6.2018;3.32;204;294
29.6.2018;3.40;1053;103
29.6.2018;3.42;279;80
29.6.2018;3.42;909;85
29.6.2018;3.47;866;41
29.6.2018;3.48;177;32
29.6.2018;3.48;167;31
29.6.2018;3.51;793;34
29.6.2018;3.52;199;83
29.6.2018;3.52;175;80
29.6.2018;3.58;205;93
29.6.2018;3.58;184;136
29.6.2018;3.58;813;90
29.6.2018;4.0;799;126
29.6.2018;4.0;213;114
29.6.2018;4.0;216;146
29.6.2018;4.1;222;169
29.6.2018;4.1;211;122
29.6.2018;4.2;237;220
29.6.2018;4.3;202;162
